Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-93,Aluno-93,7E,7.0,Fase 6 (2° EM),7E,17,Feminino,2021,Privada - Programa de Apadrinhamento,Topázio,8.275550000066668,9.168,9.931666667,6.2575,7.5,7.483333333333333,6.75,7.2,8.5,7.5,10.0,1,False
2024,RA-119,Aluno-119,7E,7.0,Fase 6 (2° EM),7E,16,Feminino,2021,Privada - Programa de Apadrinhamento,Topázio,8.085299999933333,7.083,9.983333333,6.57,7.5,7.366666666666667,6.05,7.5,8.55,7.5,10.0,1,False
2024,RA-241,Aluno-241,7E,7.0,Fase 5 (1° EM),7E,16,Masculino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.311616666733334,10.002,9.891666667,7.1975,7.5,6.816666666666667,6.15,7.2,7.1,7.5,10.0,2,False
2024,RA-242,Aluno-242,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.2887,9.585,9.621,6.26,7.5,7.650000000000001,8.05,8.05,6.85,7.5,10.0,2,False
2024,RA-52,Aluno-52,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.144466666733333,8.751,9.437666667,6.885,7.5,7.216666666666666,6.8,8.85,6.0,7.5,10.0,2,False
2024,RA-1227,Aluno-1227,7E,7.0,Fase 7 (3° EM),7E,17,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.8446,8.751,0.0,7.195,7.5,0.0,0.0,0.0,0.0,7.5,10.0,0,False
2024,RA-245,Aluno-245,7E,7.0,Fase 5 (1° EM),7E,16,Masculino,2021,Privada - Programa de Apadrinhamento,Topázio,8.452633333266668,9.168,9.953333333,6.885,7.5,8.033333333333333,8.4,7.6,8.1,7.5,10.0,2,False
2024,RA-246,Aluno-246,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2022,Privada *Parcerias com Bolsa 100%,Quartzo,4.7404,8.334,0.0,6.57,7.5,0.0,0.0,0.0,0.0,7.5,10.0,2,False
2024,RA-1228,Aluno-1228,7E,7.0,Fase 7 (3° EM),7E,18,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.8761,8.751,0.0,7.51,7.5,0.0,0.0,0.0,0.0,7.5,10.0,0,False
2024,RA-1229,Aluno-1229,7E,7.0,Fase 7 (3° EM),7E,17,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.8238,9.168,0.0,6.57,7.5,0.0,0.0,0.0,0.0,7.5,10.0,0,False
